catalogNumber,Species,coordinates,plotType,longitude,latitude
AUGIEENTB0000005,Harmonia axyridis,41.50609-90.73943,LP-AG,41.50609,-90.73943
AUGIEENTB0000026,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000028,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000024,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000029,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000027,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000025,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000023,Harmonia axyridis,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000022,Harmonia axyridis,41.55032-90.45992,LP-GF,41.55032,-90.45992
NO SCAN,Pupa,41.55032-90.45992,LP-GF,41.55032,-90.45992
AUGIEENTB0000010,Coleomegilla maculata,41.50368-90.62248,LP-GM,41.50368,-90.62248
AUGIEENTB0000011,Coleomegilla maculata,41.50368-90.62248,LP-GM,41.50368,-90.62248
NO SCAN,Larvae,41.50368-90.62248,LP-GM,41.50368,-90.62248
AUGIEENTB0000003,Harmonia axyridis,41.57974-90.48991,LP-GM,41.57974,-90.48991
AUGIEENTB0000004,Harmonia axyridis,41.50206-90.45157,LP-GM,41.50206,-90.45157
AUGIEENTB0000006,Harmonia axyridis,41.50206-90.45157,LP-GM,41.50206,-90.45157
AUGIEENTB0000009,Harmonia axyridis,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Pupa,41.50206-90.45157,LP-GM,41.50206,-90.45157
NO SCAN,Larvae,41.50206-90.45157,LP-GM,41.50206,-90.45157
AUGIEENTB0000015,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000012,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000016,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000017,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000013,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000014,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000008,Propylea quatuordecimpunctata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000020,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000001,Coleomegilla maculata,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000019,Propylea quatuordecimpunctata,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Pupa,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000002,Coleomegilla maculata,41.56770-90.52301,LP-IC,41.56770,-90.52301
NO SCAN,Larvae,41.56770-90.52301,LP-IC,41.56770,-90.52301
AUGIEENTB0000098,Coleomegilla maculata,41.544137-90.649164,LP-AG,41.544137,-90.649164
AUGIEENB0000099,Coleomegilla maculata,41.544137-90.649164,LP-AG,41.544137,-90.649164
AUGIEENTB0000100,Coleomegilla maculata,41.544137-90.649164,LP-AG,41.544137,-90.649164
AUGIEENTB0000101,Coleomegilla maculata,41.544137-90.649164,LP-AG,41.544137,-90.649164
AUGIEENTB0000102,Cycloneda munda,41.50609-90.73943,LP-AG,41.50609,-90.73943
AUGIEENTB0000055,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000056,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000057,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000062,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000063,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000064,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000065,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000066,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000067,Coccinella Septempunctata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000068,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000069,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000070,Cycloneda munda,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000090,Cycloneda munda,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000091,Cycloneda munda,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000092,Cycloneda munda,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000093,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000094,coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000095,coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000106,coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000107,Cycloneda munda,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000108,Cycloneda munda,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000109,coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000110,Coleomegilla maculata,41.57847-90.61787,LP-AG,41.57847,-90.61787
AUGIEENTB0000111,Coleomegilla maculata,40.57847-90.61787,LP-AG,40.57847,-90.61787
AUGIEENTB0000112,coleomegilla maculata,40.57847-90.61787,LP-AG,40.57847,-90.61787
AUGIEENTB0000113,cycloneda munda,40.57847-90.61787,LP-AG,40.57847,-90.61787
AUGIEENTB0000114,coleomegilla maculata,40.57847-90.61787,LP-AG,40.57847,-90.61787
AUGIEENTB0000034,coleomegilla maculata,41.611341-90.53765,LP-AG,41.611341,-90.53765
AUGIEENTB0000035,coleomegilla maculata,41.611341-90.53765,LP-AG,41.611341,-90.53765
AUGIEENTB0000036,Hippodamia convergens,41.611341-90.53765,LP-AG,41.611341,-90.53765
AUGIEENTB0000037,NA,41.611341-90.53765,LP-AG,41.611341,-90.53765
AUGIEENTB0000038,Hippodamia parenthesis,41.611341-90.53765,LP-AG,41.611341,-90.53765
AUGIEENTB0000123,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000124,Cycloneda munda,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000125,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000126,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000127,Propylea quatuordecimpunctata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000129,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000130,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000131,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000132,Coleomegilla maculata,41.428138-90.508097,LP-AG,41.428138,-90.508097
NO SCAN,Larvae,41.428138-90.508097,LP-AG,41.428138,-90.508097
NO SCAN,Larvae,41.428138-90.508097,LP-AG,41.428138,-90.508097
AUGIEENTB0000105,Psyllobora vigintimaculata,41.435905-90.501557,LP-GF,41.435905,-90.501557
AUGIEENTB0000137,Cycloneda munda,41.47252-90.473754,LP-GF,41.47252,-90.473754
AUGIEENTB0000138,Cycloneda munda,41.47252-90.473754,LP-GF,41.47252,-90.473754
AUGIEENTB0000139,Brachiacantha ursina,41.47252-90.473754,LP-GF,41.47252,-90.473754
AUGIEENTB0000140,Psyllobora vigintimaculata,41.47252-90.473754,LP-GF,41.47252,-90.473754
AUGIEENTB0000141,Chilocorus stigma,41.47252-90.473754,LP-GF,41.47252,-90.473754
AUGIEENTB0000104,Coleomegilla maculata,41.550606-90.62248,LP-GM,41.550606,-90.62248
AUGIEENTB0000030,Coleomegilla maculata,41.57974-90.4891,LP-GM,41.57974,-90.4891
AUGIEENTB0000031,Coleomegilla maculata,41.57974-90.4891,LP-GM,41.57974,-90.4891
AUGIEENTB0000032,Coleomegilla maculata,41.57974-90.4891,LP-GM,41.57974,-90.4891
AUGIEENTB0000033,hippodamia parenthesis,41.57974-90.4891,LP-GM,41.57974,-90.4891
AUGIEENTB0000039,coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000040,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000041,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000042,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000043,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000044,Coleomegilla maculata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000045,Hippodamia convergens,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000046,Harmonia axyridis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000047,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000048,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000049,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000050,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000051,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000052,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000053,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000054,Coccinella Septempunctata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000058,Cycloneda munda,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000059,Hippodamia parenthesis,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000060,Hyperaspis undulata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000061,Hyperaspis undulata,41.56304-90.46707,LP-GU,41.56304,-90.46707
AUGIEENTB0000071,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000072,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000073,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENB0000074,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000075,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000076,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000077,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000078,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000079,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000080,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000081,Hippodamia convergens,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000082,Coleomegilla maculata,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000083,Hippodamia parenthesis,41.537828-90.645823,LP-GU,41.537828,-90.645823
NO SCAN,Larvae,41.537828-90.645823,LP-GU,41.537828,-90.645823
NO SCAN,Larvae,41.537828-90.645823,LP-GU,41.537828,-90.645823
NO SCAN,Larvae,41.537828-90.645823,LP-GU,41.537828,-90.645823
AUGIEENTB0000084,Cycloneda munda,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000085,Coleomegilla maculata,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000086,Propylea quatuordecimpunctata,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000087,Cycloneda munda,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000088,Harmonia axyridis,41.56812-90.57119,LP-GU,41.56812,-90.57119
NO SCAN,Larvae,41.56812-90.57119,LP-GU,41.56812,-90.57119
AUGIEENTB0000119,Coleomegilla maculata,41.531584-90.414653,LP-GU,41.531584,-90.414653
AUGIEENTB0000120,Coleomegilla maculata,41.531584-90.414653,LP-GU,41.531584,-90.414653
AUGIEENTB0000121,Coleomegilla maculata,41.531584-90.414653,LP-GU,41.531584,-90.414653
AUGIEENTB0000122,Coleomegilla maculata,41.531584-90.414653,LP-GU,41.531584,-90.414653
AUGIEENTB0000133,Coleomegilla maculata,41.463906-90.537662,LP-GU,41.463906,-90.537662
AUGIEENTB0000134,harmonia axyridis,41.463906-90.537662,LP-GU,41.463906,-90.537662
AUGIEENTB0000089,Coleomegilla maculata,41.5677-90.52301,LP-IC,41.5677,-90.52301
AUGIEENTB0000096,Coleomegilla maculata,41.5677-90.52301,LP-IC,41.5677,-90.52301
AUGIEENTB0000097,Coleomegilla maculata,41.5677-90.52301,LP-IC,41.5677,-90.52301
AUGIEENTB0000115,Hippodamia variegata,41.556505-90.57834,LP-IC,41.556505,-90.57834
AUGIEENTB0000116,Coleomegilla maculata,41.556505-90.57834,LP-IC,41.556505,-90.57834
AUGIEENTB0000117,Hippodamia variegata,41.556505-90.57834,LP-IC,41.556505,-90.57834
AUGIEENTB0000135,Hippodamia parenthesis,41.520413-90.439069,LP-IC,41.520413,-90.439069
AUGIEENTB0000136,Cycloneda munda,41.520413-90.439069,LP-IC,41.520413,-90.439069
AUGIEENTB0000118,Coleomegilla maculata,41.469869-90.506684,LP-IC,41.469869,-90.506684
NO SCAN,Larvae,41.461935-90.691037,LP-IC,41.461935,-90.691037
AUGIEENTB0000165,Harmonia axyridis,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000166,Harmonia axyridis,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000167,Harmonia axyridis,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000168,Propylea quatuordecimpunctata,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000169,Coleomegilla maculata,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000170,Harmonia axyridis,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000171,Harmonia axyridis,41.54437-90.649164,LP-AG,41.54437,-90.649164
AUGIEENTB0000172,Harmonia axyridis,41.54437-90.649164,LP-AG,41.54437,-90.649164
