catalogNumber,genus,specificEpithet,eventDate,country,stateProvince,county,species,commonName
AUGUENTA0000001,NA,NA,1992-10-21,United States,IL,Rock Island,Na na,Unknown
AUGIEENTA0000002,NA,NA,2008-08-15,United States,IL,Rock Island,Na na,Unknown
AUGIEENTA0000004,NA,NA,1988-09-20,United States,IL,Rock Island,Na na,Unknown
AUGIEENTA0000005,NA,NA,1974-10-29,United States,IL,Rock Island,Na na,Unknown
AUGIEENTA0000006,NA,NA,1972-10-21,United States,IL,Rock Island,Na na,Unknown
AUGIEENTA0000007,NA,NA,2018-08-30,United States,IA,Scott,Na na,Unknown
AUGIEENTA0000008,NA,NA,1997-09-20,United States,IL,Adams,Na na,Unknown
AUGIEENTA0000009,NA,NA,1986-09-16,United States,IL,Rock Island,Na na,Unknown
AUGIEENTA0000010,NA,NA,1997-09-18,United States,IL,Rock Island,Na na,Unknown
AUGIEENTA0000011,Chilocorus,stigma,1993-08-27,United States,Montana,Jasper,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTA0000012,Chilocorus,stigma,1994-10-10,United States,IL,Rock Island,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTA0000013,Chilocorus,stigma,1971-06-14,United States,IL,Mercer,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTA0000014,Chilocorus,stigma,1970-10-02,United States,IL,Rock Island,Chilocorus stigma,Twice Stabbed Ladybug
AUGIEENTA0000015,Hippodamia,convergens,1970-07-02,United States,Colorado,Adams,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000016,Hippodamia,convergens,1981-07-02,United States,Colorado,Adams,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000017,Hippodamia,convergens,1974-10-05,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000018,Hippodamia,caseyi,1956-05-14,United States,Kansas,Riley,Hippodamia caseyi,Caseys Lady Beetle
AUGIEENTA0000019,Hippodamia,convergens,1970-10-02,United States,IL,Rock Island,Hippodamia convergens,Convergent Lady Beetle
AUGIEENTA0000020,Hippodamia,parenthesis,1965-08-28,United States,IL,Rock Island,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTA0000021,Hippodamia,parenthesis,1978-09-16,United States,IL,Rock Island,Hippodamia parenthesis,Parentheses Lady Beetle
AUGIEENTA0000022,Hippodamia,tredecimpunctata,1965-05-04,United States,IL,Mercer,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000023,Hippodamia,tredecimpunctata,1965-05-04,United States,IL,Mercer,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000024,Hippodamia,tredecimpunctata,1972-11-05,United States,IL,Rock Island,Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle
AUGIEENTA0000025,Brachiacantha,ursina,1975-06-18,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTA0000026,Brachiacantha,ursina,1966-06-24,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTA0000027,Brachiacantha,ursina,1965-05-24,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUEIEENTA0000028,Brachiacantha,ursina,1965-05-04,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTA0000029,Brachiacantha,ursina,1966-06-29,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTA0000030,Brachiacantha,ursina,1976-09-17,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTA0000031,Brachiacantha,ursina,1975-07-16,United States,IL,Rock Island,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTA0000032,Brachiacantha,ursina,1986-09-23,United States,Iowa,Scott,Brachiacantha ursina,Ursine Spurleg Lady Beetle
AUGIEENTA0000033,Psyllobora,vigintimaculata,1976-05-07,United States,IL,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTA0000034,Psyllobora,vigintimaculata,1970-05-29,United States,IL,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTA0000035,Psyllobora,vigintimaculata,1970-05-09,United States,IL,Rock Island,Psyllobora vigintimaculata,Twenty-spotted Lady Beetle
AUGIEENTA0000036,NA,NA,1970-09-18,United States,Il,Rock Island,Na na,Unknown
AUGIEENTA0000037,Coleomegilla,maculata,1953-04-20,United States,Minnesota,Pine,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000047,Cycloneda,sanguinea,1965-05-19,United States,Illinois,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000038,Coleomegilla,maculata,1970-10-03,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000048,Cycloneda,sanguinea,1970-06-19,United States,Illinois,Rock Island,Cycloneda sanguinea,Spotless Ladybird
AUGIEENTA0000039,Coleomegilla,maculata,1970-10-02,United States,IL,Rock Island,Coleomegilla maculata,Spotted Lady Beetle
AUGIEENTA0000040,Anatis,mali,1955-05-26,United States,Minnesota,Houston,Anatis mali,Eye spotted Lady Beetle
AUGIEENTA0000050,Olla,v-nigrum,1974-08-11,United States,Illinois,Rock Island,Olla v-nigrum,Ashy-Gray Lady Beetle
AUGIEENTA0000041,Anatis,labiculata,1964-05-18,United States,IL,Rock Island,Anatis labiculata,Fifteen-spotted Lady Beetle
AUGIEENTA0000051,Olla,v-nigrum,1974-08-11,United States,Illinois,Rock Island,Olla v-nigrum,Ashy-Gray Lady Beetle
AUGIEENTA0000042,Anatis,labiculata,1955-04-16,United States,Minnesota,Anoka,Anatis labiculata,Fifteen-spotted Lady Beetle
AUGIEENTA0000052,Olla,v-nigrum,1974-09-17,United States,Illinois,Rock Island,Olla v-nigrum,Ashy-Gray Lady Beetle
AUGIEENTA0000043,Anatis,labiculata,1955-04-20,United States,Michigan,Pine,Anatis labiculata,Fifteen-spotted Lady Beetle
AUGIEENTA0000044,Adalia,bipunctata,1970-10-03,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000045,Adalia,bipunctata,1970-10-17,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000046,Adalia,bipunctata,1974-10-05,United States,IL,Rock Island,Adalia bipunctata,Two-spot Ladybird
AUGIEENTA0000053,Coccinella,transversoguttata,1980-08-08,United States,Minnesota,Todd,Coccinella transversoguttata,Transverse Ladybird
