"","catalogNumber","coordinates","plotType","longitude","latitude"
"1","AUGIEENTB0000005","41.50609-90.73943","LP-AG","41.50609","90.73943"
"2","AUGIEENTB0000026","41.57847-90.61787","LP-AG","41.57847","90.61787"
"3","AUGIEENTB0000028","41.57847-90.61787","LP-AG","41.57847","90.61787"
"4","AUGIEENTB0000024","41.57847-90.61787","LP-AG","41.57847","90.61787"
"5","AUGIEENTB0000029","41.57847-90.61787","LP-AG","41.57847","90.61787"
"6","AUGIEENTB0000027","41.57847-90.61787","LP-AG","41.57847","90.61787"
"7","AUGIEENTB0000025","41.57847-90.61787","LP-AG","41.57847","90.61787"
"8","AUGIEENTB0000023","41.57847-90.61787","LP-AG","41.57847","90.61787"
"9","AUGIEENTB0000022","41.55032-90.45992","LP-GF","41.55032","90.45992"
"10","NO SCAN","41.55032-90.45992","LP-GF","41.55032","90.45992"
"11","AUGIEENTB0000010","41.50368-90.62248","LP-GM","41.50368","90.62248"
"12","AUGIEENTB0000011","41.50368-90.62248","LP-GM","41.50368","90.62248"
"13","NO SCAN","41.50368-90.62248","LP-GM","41.50368","90.62248"
"14","AUGIEENTB0000003","41.57974-90.48991","LP-GM","41.57974","90.48991"
"15","AUGIEENTB0000004","41.50206-90.45157","LP-GM","41.50206","90.45157"
"16","AUGIEENTB0000006","41.50206-90.45157","LP-GM","41.50206","90.45157"
"17","AUGIEENTB0000009","41.50206-90.45157","LP-GM","41.50206","90.45157"
"18","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"19","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"20","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"21","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"22","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"23","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"24","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"25","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"26","NO SCAN","41.50206-90.45157","LP-GM","41.50206","90.45157"
"27","AUGIEENTB0000015","41.56304-90.46707","LP-GU","41.56304","90.46707"
"28","AUGIEENTB0000012","41.56304-90.46707","LP-GU","41.56304","90.46707"
