id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
56661501,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,7ba99307-301d-4038-8a61-fd809f9ddb41,AUGUENTA0000001,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,"Freed, J.M.",A0000001,10/21/1992,1992,10,21,295,,X 21 1992,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/19/2021 8:57,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:7ba99307-301d-4038-8a61-fd809f9ddb41,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56661501
56661512,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,cbb231a6-3ec1-41b3-828a-b8f22b7b08e1,AUGIEENTA0000002,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,Wilson K.,A0000002,8/15/2008,2008,8,15,228,,15-VIII-2008,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/19/2021 8:57,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:cbb231a6-3ec1-41b3-828a-b8f22b7b08e1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56661512
56664507,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,eb2a03d8-3835-4e6c-abb2-fea42921daf3,AUGIEENTA0000004,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,Burke D.,A0000004,9/20/1988,1988,9,20,264,,IX 20 1988,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/21/2021 12:36,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:eb2a03d8-3835-4e6c-abb2-fea42921daf3,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664507
56664508,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,423a097a-02e8-494e-9e5c-d582d41f5c23,AUGIEENTA0000005,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,Keator S.,A0000005,10/29/1974,1974,10,29,302,,X 29 1974,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/24/2021 8:03,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:423a097a-02e8-494e-9e5c-d582d41f5c23,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664508
56664509,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,017f33ca-7dfc-40a0-ad99-a42acff1ff6f,AUGIEENTA0000006,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,Mekus Kathy,A0000006,10/21/1972,1972,10,21,295,,X 21 1972,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/21/2021 12:36,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:017f33ca-7dfc-40a0-ad99-a42acff1ff6f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664509
56664511,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,4fd15c0a-fada-47b7-a455-f7f5bbe1eb41,AUGIEENTA0000007,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,DeVoss Marley; Tierney Brosius,7,8/30/2018,2018,8,30,242,,30-Aug-18,,,,,,,,,,,,,,,,,United States,IA,Scott,Davenport,Nahant Marsh,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/24/2021 8:03,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:4fd15c0a-fada-47b7-a455-f7f5bbe1eb41,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664511
56664515,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,ea512790-a584-40ba-a4b6-53b6944df3dc,AUGIEENTA0000008,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,Frese H.,8,9/20/1997,1997,9,20,263,,9-XX-1997,,,,,,,,,,,,,,,,,United States,IL,Adams,,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/24/2021 8:03,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:ea512790-a584-40ba-a4b6-53b6944df3dc,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664515
56664527,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,7fc581f1-2316-4cb6-b627-134b0bc2d686,AUGIEENTA0000009,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,Gurrieri B,9,9/16/1986,1986,9,16,259,,IX 16 1986,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/21/2021 12:36,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:7fc581f1-2316-4cb6-b627-134b0bc2d686,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664527
56664533,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,0dbd78da-c771-4ea2-a692-ebec3b5a2dfa,AUGIEENTA0000010,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinellidae,,,,,,,,,,,,,,Gonzalez M,10,9/18/1997,1997,9,18,261,,18-IX-1997,,,,,,,,,,,,,,,,,United States,IL,Rock Island,Rock Island,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/24/2021 8:03,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:0dbd78da-c771-4ea2-a692-ebec3b5a2dfa,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664533
56664539,AUGIE,ENT,,120bf21c-d066-48ee-b4c0-880596ea22e4,PreservedSpecimen,2251aa89-d193-428f-97d6-454013367c7f,AUGIEENTA0000011,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Chilocorus stigma,25164,"Guérin-Méneville, 1842",Chilocorus,stigma,,,Larson I.W.,1975,,,,,,Larson I.W.,11,8/27/1993,1993,8,27,239,,VIII.23.1993,,,,,,,,,,,,,,,,,United States,Montana,Jasper,Carthage,,,,,,,,,,,,,,,,,,,,,tierneybrosius,5/24/2021 7:30,http://creativecommons.org/licenses/by-nc/4.0/,Augustana College,,urn:uuid:2251aa89-d193-428f-97d6-454013367c7f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=56664539
